model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
5 Series,2015,19990,Semi-Auto,31567,Diesel,160,50.4,3.0,BMW
SLK,2016,17980,Semi-Auto,16107,Diesel,30,70.6,2.0,Mercedes-Benz
Fabia,2019,12990,Semi-Auto,14175,Petrol,145,60.1,1.0,Skoda
Passat,2019,34498,Semi-Auto,10,Hybrid,135,41.5,1.4,Volkswagen
Touran,2004,1800,Automatic,116971,Petrol,300,35.8,1.6,Volkswagen
2 Series,2018,16890,Semi-Auto,21688,Diesel,145,56.5,1.5,BMW
Fiesta,2017,7800,Manual,15800,Petrol,145,54.3,1.2,Ford
Golf,2016,16660,Manual,14709,Diesel,20,67.3,2.0,Volkswagen
Yaris,2002,1999,Automatic,71788,Petrol,165,42.2,1.3,Toyota
Aygo,2016,6500,Manual,23850,Petrol,0,69.0,1.0,Toyota
GLA Class,2016,19380,Semi-Auto,23979,Diesel,125,56.5,2.1,Mercedes-Benz
I30,2019,23995,Manual,150,Petrol,150,34.0,2.0,Hyundai
Aygo,2013,3990,Manual,40003,Petrol,0,65.7,1.0,Toyota
Fiesta,2017,9250,Manual,13800,Petrol,145,65.7,1.0,Ford
Tucson,2016,12498,Manual,15959,Diesel,30,61.7,1.7,Hyundai
2 Series,2019,19750,Semi-Auto,9014,Diesel,145,49.6,2.0,BMW
Polo,2017,8999,Manual,29930,Petrol,150,60.1,1.0,Volkswagen
Astra,2019,14540,Manual,100,Diesel,145,58.9,1.6,Vauxhall
Galaxy,2017,17995,Manual,27769,Diesel,125,56.5,2.0,Ford
E Class,2020,38990,Semi-Auto,648,Diesel,145,43.5,3.0,Mercedes-Benz
Insignia,2016,12200,Manual,30418,Diesel,145,60.1,2.0,Vauxhall
Kuga,2017,12480,Manual,15284,Petrol,160,45.6,1.5,Ford
A Class,2020,24579,Manual,1000,Petrol,145,47.1,1.3,Mercedes-Benz
Golf,2019,18990,Manual,1133,Petrol,145,43.5,1.5,Volkswagen
Polo,2019,14290,Manual,1810,Petrol,145,52.3,1.0,Volkswagen
Prius,2017,18995,Automatic,20828,Hybrid,135,94.1,1.8,Toyota
Focus,2016,10500,Manual,23499,Petrol,20,60.1,1.0,Ford
Q3,2014,16499,Manual,20255,Petrol,235,38.7,2.0,Audi
Polo,2019,12990,Manual,7391,Petrol,150,48.7,1.0,Volkswagen
Polo,2019,14781,Manual,5500,Petrol,145,47.9,1.0,Volkswagen
GLE Class,2019,53499,Semi-Auto,1378,Diesel,145,32.8,3.0,Mercedes-Benz
Yaris,2017,10900,Automatic,25092,Petrol,30,55.0,1.3,Toyota
Tiguan Allspace,2019,27599,Semi-Auto,5407,Diesel,145,39.2,2.0,Volkswagen
Corsa,2019,9495,Manual,7132,Petrol,145,43.5,1.4,Vauxhall
X3,2018,29500,Semi-Auto,28885,Diesel,150,48.7,3.0,BMW
Mokka X,2019,13990,Manual,14417,Petrol,145,39.2,1.4,Vauxhall
Golf,2019,15499,Manual,10419,Diesel,145,57.7,1.6,Volkswagen
S-MAX,2017,18990,Semi-Auto,28911,Diesel,125,51.4,2.0,Ford
Mokka X,2017,11998,Manual,19998,Diesel,145,60.1,1.6,Vauxhall
Aygo,2017,9495,Automatic,18309,Other,145,67.3,1.0,Toyota
Fiesta,2018,10640,Manual,30000,Petrol,145,57.7,1.0,Ford
Focus,2013,6250,Manual,44000,Petrol,30,56.5,1.0,Ford
S-MAX,2018,23038,Semi-Auto,15019,Diesel,145,52.3,2.0,Ford
Mondeo,2015,10700,Manual,47610,Diesel,30,56.5,2.0,Ford
5 Series,2019,25998,Semi-Auto,11115,Diesel,145,65.7,2.0,BMW
C-MAX,2016,9990,Manual,21986,Petrol,30,55.4,1.0,Ford
Tiguan,2017,17995,Manual,18250,Diesel,160,50.4,2.0,Volkswagen
Octavia,2019,13990,Manual,17736,Diesel,145,67.3,1.6,Skoda
Arteon,2019,23950,Manual,100,Diesel,145,52.3,2.0,Volkswagen
I10,2019,9295,Manual,7000,Petrol,145,60.1,1.0,Hyundai
Fiesta,2016,7998,Manual,20777,Petrol,125,54.3,1.2,Ford
5 Series,2017,23980,Semi-Auto,29539,Diesel,145,60.1,2.0,BMW
Polo,2018,11950,Manual,26122,Petrol,145,64.2,1.0,Volkswagen
GLA Class,2014,13990,Automatic,56488,Diesel,145,55.4,2.1,Mercedes-Benz
Corsa,2012,2995,Manual,96500,Petrol,125,51.4,1.4,Vauxhall
Viva,2017,5998,Manual,22459,Petrol,145,61.4,1.0,Vauxhall
Santa Fe,2015,15990,Manual,21998,Diesel,200,46.3,2.2,Hyundai
Touran,2016,12999,Manual,42560,Diesel,30,64.2,1.6,Volkswagen
CL Class,2019,22380,Manual,10000,Petrol,145,44.1,1.6,Mercedes-Benz
A Class,2017,12295,Manual,90220,Diesel,30,62.8,2.1,Mercedes-Benz
E Class,2019,28480,Semi-Auto,12667,Diesel,145,58.9,2.0,Mercedes-Benz
Aygo,2018,6595,Manual,28335,Petrol,145,69.0,1.0,Toyota
E Class,2017,24799,Automatic,7501,Diesel,145,57.7,2.0,Mercedes-Benz
C Class,2020,31790,Automatic,3500,Petrol,145,64.2,2.0,Mercedes-Benz
Tucson,2017,15270,Semi-Auto,26238,Diesel,125,57.6,1.7,Hyundai
Astra,2018,10499,Manual,14704,Petrol,145,61.4,1.0,Vauxhall
A1,2015,8199,Manual,77288,Diesel,0,74.3,1.6,Audi
C-MAX,2016,8498,Manual,41772,Petrol,30,55.4,1.0,Ford
A4,2016,15500,Manual,35750,Diesel,20,72.4,2.0,Audi
A3,2019,31750,Semi-Auto,6278,Petrol,145,34.9,2.0,Audi
Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2.0,Ford
Focus,2016,9890,Manual,20058,Diesel,0,74.3,1.5,Ford
Mokka,2013,8151,Manual,31746,Diesel,125,57.6,1.7,Vauxhall
1 Series,2015,9981,Manual,71119,Diesel,30,62.8,2.0,BMW
Golf,2017,14000,Manual,36383,Petrol,145,54.3,1.4,Volkswagen
A Class,2016,17890,Semi-Auto,27404,Diesel,20,74.3,1.5,Mercedes-Benz
Fiesta,2018,10990,Manual,15650,Petrol,145,65.7,1.0,Ford
A3,2015,14000,Automatic,63000,Hybrid,0,188.3,1.4,Audi
3 Series,2014,12295,Manual,56300,Diesel,125,58.9,2.0,BMW
Grandland X,2019,17499,Manual,15626,Petrol,145,44.1,1.2,Vauxhall
A3,2018,15840,Manual,22710,Diesel,145,68.9,1.6,Audi
2 Series,2019,20950,Manual,2178,Diesel,145,51.4,2.0,BMW
Mokka,2016,9150,Manual,25597,Diesel,20,68.9,1.6,Vauxhall
C Class,2017,19499,Semi-Auto,25241,Diesel,145,64.2,2.1,Mercedes-Benz
GLS Class,2018,43286,Automatic,16489,Diesel,145,37.2,3.0,Mercedes-Benz
Fiesta,2017,10848,Manual,15000,Petrol,145,65.7,1.0,Ford
Fiesta,2017,9430,Manual,15679,Petrol,145,65.7,1.0,Ford
E Class,2015,17495,Automatic,32000,Diesel,145,55.4,2.1,Mercedes-Benz
1 Series,2016,11545,Manual,22780,Diesel,0,83.1,1.5,BMW
GLA Class,2017,21400,Semi-Auto,10519,Diesel,145,56.5,2.1,Mercedes-Benz
Ka+,2017,7278,Manual,23000,Petrol,150,57.7,1.2,Ford
Karoq,2019,18495,Manual,2831,Petrol,150,43.5,1.0,Skoda
5 Series,2015,19676,Semi-Auto,37749,Diesel,160,49.6,3.0,BMW
Insignia,2019,18495,Automatic,13515,Diesel,150,42.2,2.0,Vauxhall
X7,2019,67990,Semi-Auto,6331,Petrol,145,24.8,3.0,BMW
C Class,2020,29980,Semi-Auto,9,Petrol,150,46.3,1.5,Mercedes-Benz
Polo,2015,9500,Manual,19394,Petrol,20,60.1,1.2,Volkswagen
A6,2019,30950,Semi-Auto,9330,Diesel,145,47.9,2.0,Audi
A3,2019,33250,Semi-Auto,4620,Petrol,150,34.5,2.0,Audi
Astra,2020,15690,Manual,1200,Petrol,145,54.3,1.2,Vauxhall
I800,2019,18985,Manual,4266,Diesel,145,31.7,2.5,Hyundai
C-MAX,2019,16950,Semi-Auto,734,Petrol,145,36.7,1.5,Ford
3 Series,2019,24950,Manual,3238,Diesel,145,64.2,2.0,BMW
Sharan,2019,24186,Semi-Auto,11548,Diesel,145,41.5,2.0,Volkswagen
Karoq,2018,17350,Manual,16059,Petrol,145,52.3,1.5,Skoda
X5,2019,52004,Semi-Auto,4000,Diesel,145,37.7,3.0,BMW
Kuga,2019,20000,Manual,6000,Petrol,145,35.3,1.5,Ford
I10,2017,6999,Manual,29051,Petrol,150,60.1,1.0,Hyundai
Mokka,2013,7201,Manual,49652,Diesel,125,57.6,1.7,Vauxhall
C Class,2016,19099,Semi-Auto,5690,Diesel,30,64.2,2.1,Mercedes-Benz
Sharan,2019,27750,Semi-Auto,2500,Diesel,145,41.5,2.0,Volkswagen
Fiesta,2019,15595,Manual,2525,Petrol,145,58.9,1.0,Ford
T-Roc,2018,22990,Manual,10500,Petrol,150,53.3,1.5,Volkswagen
Passat,2019,15350,Manual,8396,Diesel,145,55.4,2.0,Volkswagen
Fabia,2017,10750,Semi-Auto,14021,Petrol,150,61.4,1.0,Skoda
E Class,2020,39991,Semi-Auto,2184,Diesel,150,44.8,2.0,Mercedes-Benz
I10,2013,4390,Manual,29089,Petrol,20,61.4,1.2,Hyundai
A3,2017,18998,Manual,13490,Petrol,145,54.3,1.5,Audi
X2,2019,26930,Semi-Auto,4030,Petrol,145,40.4,2.0,BMW
Polo,2019,19000,Semi-Auto,4000,Petrol,150,39.8,2.0,Volkswagen
EcoSport,2017,10900,Manual,21057,Petrol,125,52.3,1.0,Ford
E Class,2017,22498,Automatic,25827,Diesel,145,61.4,2.0,Mercedes-Benz
3 Series,2017,16745,Automatic,50000,Other,135,148.7,2.0,BMW
GLC Class,2016,22248,Automatic,32726,Diesel,125,56.5,2.1,Mercedes-Benz
Fiesta,2014,6800,Manual,43612,Petrol,30,54.3,1.2,Ford
Corsa,2017,7499,Manual,31637,Petrol,30,55.4,1.4,Vauxhall
Tucson,2016,13495,Manual,21225,Diesel,30,61.7,1.7,Hyundai
I10,2017,6498,Manual,23692,Petrol,20,60.1,1.0,Hyundai
2 Series,2019,34950,Manual,3254,Diesel,145,54.3,1.5,BMW
Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2.0,BMW
Yaris,2013,5250,Manual,52454,Petrol,30,58.9,1.0,Toyota
2 Series,2019,19500,Manual,1501,Petrol,145,42.8,1.5,BMW
I30,2018,9000,Manual,15804,Petrol,145,57.7,1.0,Hyundai
Golf,2016,16998,Manual,24010,Diesel,20,67.3,2.0,Volkswagen
Golf,2018,20362,Manual,10846,Diesel,145,60.1,2.0,Volkswagen
GT86,2020,27998,Manual,516,Petrol,150,33.2,2.0,Toyota
C Class,2015,17450,Semi-Auto,37000,Diesel,30,64.2,2.1,Mercedes-Benz
Q3,2020,34000,Semi-Auto,4500,Petrol,145,31.4,2.0,Audi
Yeti Outdoor,2016,11725,Manual,42706,Petrol,125,51.4,1.2,Skoda
Octavia,2018,14990,Semi-Auto,15250,Petrol,145,56.5,1.5,Skoda
Aygo,2020,10785,Semi-Auto,4589,Petrol,150,56.5,1.0,Toyota
Aygo,2018,9995,Manual,14500,Petrol,145,56.5,1.0,Toyota
Insignia,2018,14591,Manual,21021,Petrol,145,47.1,1.5,Vauxhall
GLC Class,2019,31400,Semi-Auto,7670,Diesel,145,44.8,2.0,Mercedes-Benz
Polo,2019,13126,Manual,3811,Petrol,145,48.7,1.0,Volkswagen
EcoSport,2017,10495,Manual,31045,Petrol,145,44.8,1.5,Ford
A4,2019,24950,Automatic,5268,Petrol,145,39.2,2.0,Audi
EcoSport,2018,13697,Manual,16815,Diesel,145,68.9,1.5,Ford
Corsa,2010,3995,Manual,59823,Petrol,125,53.3,1.2,Vauxhall
GLE Class,2019,48480,Semi-Auto,4050,Diesel,145,36.7,2.0,Mercedes-Benz
Astra,2017,9295,Manual,33339,Petrol,125,51.4,1.4,Vauxhall
T-Cross,2019,19495,Manual,1900,Petrol,145,47.9,1.0,Volkswagen
EcoSport,2019,14000,Manual,11334,Petrol,145,53.3,1.0,Ford
Fiesta,2017,9849,Manual,13998,Petrol,145,65.7,1.0,Ford
Grandland X,2019,19999,Manual,7256,Diesel,145,70.6,1.6,Vauxhall
V Class,2016,30449,Automatic,48000,Diesel,235,44.8,2.2,Mercedes-Benz
A Class,2019,24124,Semi-Auto,1637,Petrol,145,47.9,1.3,Mercedes-Benz
Fabia,2017,8750,Manual,9845,Petrol,150,64.2,1.0,Skoda
3 Series,2019,28450,Semi-Auto,8349,Petrol,145,43.5,2.0,BMW
Polo,2017,12020,Manual,27890,Petrol,145,61.4,1.4,Volkswagen
Golf,2018,21747,Manual,11380,Petrol,145,37.7,2.0,Volkswagen
Citigo,2017,8995,Automatic,8167,Petrol,150,64.2,1.0,Skoda
Q3,2019,28490,Manual,4000,Petrol,145,39.8,1.5,Audi
Touareg,2016,19000,Semi-Auto,42319,Diesel,235,42.8,3.0,Volkswagen
Fiesta,2016,8399,Manual,8886,Petrol,125,54.3,1.2,Ford
Octavia,2016,11930,Semi-Auto,36400,Diesel,30,64.2,2.0,Skoda
RAV4,2015,10985,Manual,60777,Diesel,150,53.0,2.0,Toyota
Q8,2018,62990,Semi-Auto,16900,Diesel,145,32.8,3.0,Audi
Fabia,2020,13495,Manual,500,Petrol,150,51.4,1.0,Skoda
Superb,2019,25995,Semi-Auto,13,Petrol,145,38.2,2.0,Skoda
Astra,2018,12500,Manual,25369,Petrol,145,45.6,1.6,Vauxhall
Polo,2017,11000,Manual,11619,Petrol,145,60.1,1.0,Volkswagen
Kuga,2018,18250,Manual,6148,Diesel,145,39.2,2.0,Ford
1 Series,2019,16695,Manual,4160,Petrol,145,53.3,1.5,BMW
Kuga,2014,8995,Manual,50738,Diesel,145,53.3,2.0,Ford
Tucson,2017,16500,Manual,12543,Petrol,145,38.7,1.6,Hyundai
Corsa,2014,5295,Manual,40000,Petrol,125,51.4,1.4,Vauxhall
Viva,2016,5307,Manual,50602,Petrol,20,62.8,1.0,Vauxhall
Sharan,2018,20798,Manual,7721,Petrol,145,35.3,1.4,Volkswagen
Citigo,2016,6195,Manual,31654,Petrol,20,62.8,1.0,Skoda
EcoSport,2016,7995,Manual,31146,Diesel,30,64.2,1.5,Ford
E Class,2013,10675,Manual,75000,Diesel,160,52.3,2.1,Mercedes-Benz
Q5,2020,53990,Semi-Auto,4433,Diesel,145,34.5,3.0,Audi
Up,2013,5995,Manual,55000,Petrol,20,60.1,1.0,Volkswagen
Fiesta,2019,22000,Manual,8030,Petrol,145,40.4,1.5,Ford
Fiesta,2018,10298,Manual,14240,Petrol,150,64.2,1.1,Ford
Kuga,2019,15899,Manual,6562,Petrol,145,34.4,1.5,Ford
GLA Class,2014,15950,Semi-Auto,25678,Diesel,30,62.8,2.1,Mercedes-Benz
2 Series,2019,21980,Automatic,2728,Petrol,145,50.4,2.0,BMW
A5,2016,23998,Semi-Auto,14991,Diesel,160,50.4,2.0,Audi
Corolla,2019,22500,Automatic,9493,Hybrid,135,78.5,1.8,Toyota
Q5,2019,34000,Semi-Auto,5542,Diesel,145,38.2,2.0,Audi
C Class,2017,17890,Automatic,45437,Hybrid,0,134.5,2.0,Mercedes-Benz
Zafira,2017,10000,Manual,23767,Petrol,200,42.2,1.4,Vauxhall
A3,2016,12699,Automatic,23947,Diesel,30,64.2,2.0,Audi
Superb,2015,8000,Manual,105060,Diesel,20,68.9,2.0,Skoda
A3,2019,26900,Manual,100,Diesel,145,51.4,1.6,Audi
RS5,2019,51990,Automatic,10,Petrol,145,30.4,2.9,Audi
Golf,2016,12000,Automatic,45518,Diesel,30,62.8,2.0,Volkswagen
I10,2018,7500,Manual,15927,Petrol,145,60.1,1.0,Hyundai
1 Series,2012,5999,Manual,70876,Diesel,145,56.5,2.0,BMW
Crossland X,2019,13359,Manual,13709,Petrol,145,44.8,1.2,Vauxhall
Fiesta,2016,6998,Manual,49010,Diesel,0,78.5,1.5,Ford
1 Series,2017,14275,Automatic,9078,Diesel,145,72.4,1.5,BMW
Yaris,2015,6698,Manual,29015,Petrol,0,66.0,1.0,Toyota
Tucson,2017,13995,Manual,24866,Petrol,145,44.8,1.6,Hyundai
C Class,2019,26890,Semi-Auto,1705,Petrol,145,42.2,1.6,Mercedes-Benz
A6,2018,23900,Semi-Auto,25105,Diesel,145,56.5,2.0,Audi
Fiesta,2018,11188,Manual,23493,Diesel,145,88.3,1.5,Ford
3 Series,2016,12700,Automatic,47266,Diesel,30,65.7,2.0,BMW
Q2,2019,19995,Manual,4500,Petrol,145,47.1,1.0,Audi
2 Series,2019,25480,Automatic,10,Hybrid,135,113.0,1.5,BMW
GL Class,2016,15699,Manual,26809,Diesel,20,67.3,2.1,Mercedes-Benz
A4,2016,21995,Semi-Auto,47600,Diesel,145,56.5,2.0,Audi
I30,2016,7998,Manual,41429,Diesel,0,78.4,1.6,Hyundai
S Class,2018,39990,Automatic,25000,Diesel,150,52.3,2.9,Mercedes-Benz
3 Series,2016,13890,Semi-Auto,45252,Diesel,30,65.7,2.0,BMW
Ioniq,2019,21779,Semi-Auto,3047,Hybrid,135,78.5,1.6,Hyundai
C Class,2019,29890,Semi-Auto,1587,Diesel,145,60.1,1.6,Mercedes-Benz
Yaris,2016,13290,Automatic,20924,Hybrid,0,78.0,1.5,Toyota
CL Class,2015,13990,Automatic,64000,Diesel,20,67.3,2.1,Mercedes-Benz
Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6,Hyundai
Astra,2017,8790,Manual,39500,Petrol,145,51.4,1.4,Vauxhall
Up,2016,7490,Manual,9993,Petrol,20,62.8,1.0,Volkswagen
Insignia,2017,13995,Manual,17125,Petrol,150,47.1,1.5,Vauxhall
A5,2016,15375,Manual,32962,Diesel,125,60.1,2.0,Audi
A4,2019,26495,Semi-Auto,9662,Diesel,145,45.6,2.0,Audi
EcoSport,2016,7999,Manual,12410,Petrol,125,52.3,1.0,Ford
Mokka X,2019,14450,Manual,7641,Petrol,145,39.2,1.4,Vauxhall
Aygo,2016,7900,Manual,10302,Petrol,0,69.0,1.0,Toyota
TT,2019,37950,Semi-Auto,3098,Petrol,145,35.3,2.0,Audi
Corsa,2019,9995,Manual,10,Petrol,145,43.5,1.4,Vauxhall
Corsa,2017,8260,Manual,8625,Petrol,30,55.4,1.4,Vauxhall
Yaris,2019,12195,Manual,9980,Petrol,145,47.9,1.5,Toyota
Corsa,2018,8299,Manual,19000,Petrol,145,43.5,1.4,Vauxhall
Focus,2016,9600,Manual,27036,Diesel,0,74.3,1.5,Ford
Polo,2015,8465,Manual,52119,Petrol,20,60.1,1.2,Volkswagen
Fiesta,2017,10500,Manual,12440,Petrol,145,65.7,1.0,Ford
A4,2014,9990,Manual,77000,Diesel,30,62.8,2.0,Audi
Yaris,2018,13495,Automatic,10386,Hybrid,135,76.3,1.5,Toyota
Q5,2016,23499,Automatic,46919,Diesel,235,42.8,3.0,Audi
A1,2020,25000,Semi-Auto,3000,Petrol,145,44.8,1.5,Audi
Focus,2016,11200,Manual,38635,Petrol,0,74.3,1.5,Ford
Fiesta,2018,13100,Manual,11581,Petrol,145,55.4,1.0,Ford
C-HR,2018,20995,Automatic,23406,Hybrid,140,74.3,1.8,Toyota
Kamiq,2019,18999,Manual,1236,Petrol,145,47.9,1.0,Skoda
Q3,2019,26750,Manual,2200,Petrol,145,39.8,1.5,Audi
4 Series,2016,22540,Semi-Auto,24932,Diesel,160,49.6,3.0,BMW
Tiguan,2013,9999,Automatic,58425,Diesel,200,47.7,2.0,Volkswagen
A4,2020,32990,Semi-Auto,1000,Diesel,145,50.4,2.0,Audi
Focus,2018,11890,Manual,13914,Petrol,145,61.4,1.0,Ford
Focus,2015,7600,Semi-Auto,31816,Petrol,160,44.8,1.6,Ford
Corsa,2015,7999,Automatic,39000,Petrol,150,47.1,1.4,Vauxhall
GLE Class,2019,47390,Semi-Auto,9500,Diesel,145,36.7,2.0,Mercedes-Benz
Aygo,2019,10995,Manual,3500,Petrol,145,57.7,1.0,Toyota
SL CLASS,2017,22491,Manual,10537,Petrol,150,43.5,2.0,Mercedes-Benz
Corolla,2019,23500,Automatic,10016,Hybrid,135,78.5,1.8,Toyota
X-CLASS,2019,28950,Automatic,2746,Diesel,260,35.8,2.3,Mercedes-Benz
Fabia,2017,6995,Manual,25588,Petrol,145,64.2,1.0,Skoda
Polo,2016,9495,Manual,25722,Petrol,20,60.1,1.2,Volkswagen
Citigo,2018,6295,Manual,43985,Petrol,145,64.2,1.0,Skoda
Ka+,2019,11880,Manual,254,Petrol,145,47.9,1.2,Ford
A1,2017,15995,Manual,15187,Diesel,145,76.3,1.6,Audi
Astra,2017,9995,Manual,30018,Diesel,145,72.4,1.6,Vauxhall
Kuga,2019,19595,Manual,14294,Petrol,145,39.2,1.5,Ford
3 Series,2019,31880,Semi-Auto,5185,Diesel,145,44.1,3.0,BMW
Tiguan,2019,29400,Automatic,20,Diesel,145,37.2,1.5,Volkswagen
Fabia,2019,11490,Manual,3177,Petrol,145,61.4,1.0,Skoda
Astra,2018,12500,Manual,27303,Petrol,145,51.4,1.4,Vauxhall
Tiguan,2016,17450,Automatic,28614,Diesel,160,49.6,2.0,Volkswagen
Tiguan,2015,14998,Semi-Auto,40820,Diesel,200,47.1,2.0,Volkswagen
Polo,2017,10449,Manual,30847,Petrol,20,60.1,1.2,Volkswagen
Octavia,2016,10254,Manual,34006,Petrol,30,55.4,1.4,Skoda
Corsa,2015,6995,Manual,46175,Petrol,125,54.3,1.4,Vauxhall
Yaris,2019,9485,Manual,5031,Petrol,145,49.6,1.0,Toyota
Aygo,2017,8995,Semi-Auto,5000,Petrol,145,67.3,1.0,Toyota
1 Series,2014,5993,Manual,113000,Diesel,0,74.3,1.6,BMW
Galaxy,2017,17995,Semi-Auto,40782,Diesel,145,52.3,2.0,Ford
Octavia,2015,12995,Semi-Auto,42650,Diesel,125,60.1,2.0,Skoda
A Class,2014,11599,Manual,52598,Diesel,20,70.6,1.5,Mercedes-Benz
Kuga,2015,13500,Automatic,37574,Petrol,235,38.2,1.5,Ford
Fiesta,2016,9300,Manual,16595,Petrol,0,65.7,1.0,Ford
Grandland X,2019,16799,Automatic,6162,Diesel,145,57.7,1.5,Vauxhall
GLE Class,2019,47995,Automatic,7848,Diesel,150,36.7,2.0,Mercedes-Benz
Aygo,2018,7295,Manual,23754,Petrol,145,68.9,1.0,Toyota
Edge,2017,19995,Semi-Auto,23620,Diesel,160,48.7,2.0,Ford
Tiguan,2016,14998,Manual,47503,Diesel,145,53.3,2.0,Volkswagen
C Class,2016,14495,Automatic,50995,Diesel,30,64.2,1.6,Mercedes-Benz
Golf SV,2019,20490,Automatic,50,Petrol,145,42.8,1.5,Volkswagen
C Class,2019,31000,Semi-Auto,3144,Diesel,145,55.4,2.0,Mercedes-Benz
Corsa,2016,5995,Manual,49878,Petrol,30,55.4,1.4,Vauxhall
C Class,2019,29349,Semi-Auto,4133,Diesel,145,57.7,2.0,Mercedes-Benz
Scirocco,2017,15698,Manual,32897,Diesel,20,55.4,2.0,Volkswagen
A6,2019,36950,Semi-Auto,10618,Diesel,145,47.9,2.0,Audi
GLC Class,2019,44499,Semi-Auto,10000,Petrol,145,34.0,3.0,Mercedes-Benz
2 Series,2016,12699,Manual,13267,Petrol,125,52.3,1.5,BMW
X6,2013,17999,Automatic,44176,Diesel,300,37.7,3.0,BMW
Focus,2013,5999,Manual,62021,Diesel,20,67.3,1.6,Ford
Fiesta,2013,7200,Manual,11010,Petrol,0,65.7,1.0,Ford
3 Series,2019,21250,Automatic,10206,Petrol,145,47.9,2.0,BMW
1 Series,2013,9350,Manual,56000,Diesel,30,62.8,2.0,BMW
Golf,2015,17290,Manual,16060,Petrol,145,47.1,2.0,Volkswagen
Tiguan,2017,17993,Manual,21336,Petrol,145,48.7,1.4,Volkswagen
Polo,2017,13000,Manual,26566,Petrol,150,61.4,1.4,Volkswagen
Golf,2015,9450,Manual,50341,Diesel,20,68.9,2.0,Volkswagen
X1,2019,25990,Semi-Auto,7164,Diesel,150,60.1,2.0,BMW
Polo,2018,12850,Manual,8830,Petrol,145,64.2,1.0,Volkswagen
V Class,2019,19950,Manual,20981,Diesel,145,46.3,2.1,Mercedes-Benz
Tiguan,2016,24292,Semi-Auto,12377,Diesel,160,49.6,2.0,Volkswagen
T-Cross,2020,19999,Manual,1306,Diesel,145,52.3,1.6,Volkswagen
Q7,2019,49990,Semi-Auto,28,Diesel,145,33.6,3.0,Audi
I10,2017,7500,Manual,16483,Petrol,30,57.7,1.2,Hyundai
A4,2019,27490,Semi-Auto,5574,Diesel,145,44.8,2.0,Audi
RS3,2019,46990,Semi-Auto,14585,Petrol,150,29.7,2.5,Audi
CLS Class,2017,22490,Semi-Auto,31479,Diesel,145,57.7,2.1,Mercedes-Benz
7 Series,2016,32990,Semi-Auto,21224,Petrol,300,35.3,4.4,BMW
S Class,2014,29772,Semi-Auto,13460,Diesel,205,48.7,3.0,Mercedes-Benz
GLE Class,2016,34480,Semi-Auto,35879,Diesel,300,39.2,3.0,Mercedes-Benz
Focus,2013,11990,Manual,47729,Petrol,235,39.2,2.0,Ford
3 Series,2018,27000,Automatic,13430,Diesel,145,49.6,3.0,BMW
3 Series,2012,8569,Automatic,85118,Diesel,30,62.8,2.0,BMW
Mokka X,2017,10999,Manual,31840,Petrol,150,47.1,1.4,Vauxhall
A Class,2019,19680,Semi-Auto,9931,Diesel,145,68.9,1.5,Mercedes-Benz
Yaris,2019,12170,Manual,6779,Petrol,145,47.9,1.5,Toyota
Fiesta,2018,9490,Manual,18516,Petrol,145,64.2,1.1,Ford
A Class,2018,17906,Automatic,8396,Petrol,145,53.3,1.3,Mercedes-Benz
EcoSport,2019,16800,Automatic,5177,Petrol,145,44.1,1.0,Ford
Zafira,2017,11000,Manual,29057,Petrol,200,42.2,1.4,Vauxhall
Octavia,2017,11290,Manual,33100,Diesel,150,68.9,1.6,Skoda
Edge,2018,23495,Semi-Auto,25270,Diesel,150,47.9,2.0,Ford
Focus,2016,10000,Manual,46008,Diesel,0,74.3,1.5,Ford
E Class,2019,25890,Automatic,9755,Diesel,145,72.4,2.0,Mercedes-Benz
Mondeo,2013,9500,Automatic,39876,Petrol,260,36.7,2.0,Ford
C Class,2016,17500,Semi-Auto,41758,Hybrid,0,134.5,2.0,Mercedes-Benz
C Class,2015,16499,Automatic,31063,Hybrid,0,76.4,2.1,Mercedes-Benz
A3,2013,6998,Manual,89831,Diesel,0,74.3,1.6,Audi
Q2,2019,21500,Manual,4050,Diesel,145,49.6,1.6,Audi
Golf,2016,19965,Semi-Auto,28000,Petrol,205,39.8,2.0,Volkswagen
1 Series,2016,13800,Automatic,11510,Diesel,20,70.6,2.0,BMW
Golf,2016,13990,Semi-Auto,11170,Petrol,30,53.3,1.4,Volkswagen
C-HR,2018,21888,Automatic,10565,Hybrid,135,74.3,1.8,Toyota
Mokka X,2017,9895,Manual,18024,Petrol,200,42.2,1.6,Vauxhall
4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2.0,BMW
I30,2016,7985,Manual,47978,Diesel,0,78.4,1.6,Hyundai
Astra,2014,5299,Automatic,76332,Diesel,160,50.4,2.0,Vauxhall
Zafira,2017,11495,Manual,14750,Petrol,150,41.5,1.4,Vauxhall
S-MAX,2019,30000,Semi-Auto,623,Diesel,145,43.5,2.0,Ford
E Class,2017,24480,Semi-Auto,22469,Diesel,145,51.4,3.0,Mercedes-Benz
Fiesta,2018,12499,Semi-Auto,14773,Petrol,145,54.3,1.0,Ford
Aygo,2019,9450,Manual,1749,Petrol,145,57.7,1.0,Toyota
