model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
E Class,2016,18750,Automatic,33500,Diesel,20,67.3,2.0,Mercedes-Benz
A3,2016,15899,Manual,17104,Petrol,20,60.1,1.4,Audi
Q3,2020,33888,Manual,1500,Petrol,145,40.4,1.5,Audi
Mokka X,2018,11990,Manual,13076,Petrol,145,39.2,1.4,Vauxhall
3 Series,2016,15000,Automatic,53745,Diesel,145,54.3,3.0,BMW
RAV4,2017,21323,Automatic,19986,Hybrid,20,57.6,2.5,Toyota
Tiguan,2016,16880,Semi-Auto,41192,Diesel,160,49.6,2.0,Volkswagen
Hilux,2017,20995,Manual,8441,Diesel,260,40.4,2.4,Toyota
Mokka,2015,7640,Manual,48047,Diesel,30,62.8,1.7,Vauxhall
A1,2016,10233,Manual,40172,Petrol,0,67.3,1.0,Audi
Avensis,2016,9995,Manual,61300,Diesel,20,67.3,1.6,Toyota
C Class,2019,38699,Semi-Auto,3668,Petrol,145,30.4,3.0,Mercedes-Benz
Kuga,2017,14545,Manual,32813,Diesel,125,60.1,2.0,Ford
Insignia,2018,14698,Manual,19227,Petrol,145,50.4,1.5,Vauxhall
Fiesta,2018,11999,Manual,16379,Petrol,150,65.7,1.0,Ford
Corsa,2019,10990,Manual,1167,Petrol,145,43.5,1.4,Vauxhall
A Class,2019,25399,Manual,486,Petrol,145,47.1,1.3,Mercedes-Benz
B Class,2019,22590,Manual,50,Petrol,145,44.8,1.3,Mercedes-Benz
A6,2014,12691,Semi-Auto,84000,Diesel,205,44.8,3.0,Audi
Fiesta,2017,8991,Manual,15009,Petrol,145,54.3,1.2,Ford
Octavia,2020,20990,Semi-Auto,2500,Diesel,145,51.4,1.6,Skoda
Scirocco,2013,11500,Manual,37940,Diesel,30,62.8,2.0,Volkswagen
Tiguan,2020,28990,Semi-Auto,2331,Diesel,145,39.8,2.0,Volkswagen
Yaris,2018,11900,Manual,5691,Petrol,145,47.1,1.5,Toyota
Mondeo,2017,16795,Automatic,18073,Petrol,145,38.2,2.0,Ford
Astra,2017,9799,Manual,15716,Petrol,125,51.4,1.4,Vauxhall
T-Roc,2019,18995,Manual,13557,Diesel,145,50.4,1.6,Volkswagen
Focus,2018,19000,Manual,16000,Petrol,150,41.5,2.0,Ford
Fiesta,2017,11298,Manual,15796,Petrol,0,65.7,1.0,Ford
Focus,2019,15999,Manual,5153,Petrol,145,60.1,1.0,Ford
E Class,2017,19970,Semi-Auto,10392,Diesel,20,72.4,2.0,Mercedes-Benz
Corsa,2018,7490,Manual,18000,Petrol,145,54.3,1.4,Vauxhall
Fiesta,2016,9199,Manual,31021,Petrol,0,65.7,1.0,Ford
1 Series,2015,9890,Manual,30416,Diesel,0,78.5,1.5,BMW
Focus,2019,15490,Manual,7885,Diesel,145,74.3,1.5,Ford
C Class,2018,21999,Automatic,36926,Diesel,145,61.4,2.0,Mercedes-Benz
Aygo,2017,8000,Automatic,10563,Petrol,0,67.0,1.0,Toyota
